from ,to,position,year
abloh,do,2,2010
abloh,lv,2,2018
audigier,di,2,1975
audigier,le,2,1975
audigier,vd,2,1999
audigier,eh,2,2004
bailey,g,2,1996
bailey,bu,2,2001
blazy,bv,2,2020
burton,am,2,2010
chiuri,d,2,2016
costa,th,2,2001
etro,et,2,2000
ford,g,2,1994
galliano,d,2,1997
galliano,gal,2,1995
gianni,f,2,1997
gianni,g,2,2002
jacobs,lv,2,1997
lagerfeld,jp,2,1958
lagerfeld,ch,2,1963
lagerfeld,c,2,1982
owens,ml,2,1990
prada,pr,2,1977
renta,b,2,1992
rousteing,rc,2,2004
rousteing,b,2,2009
simons,js,2,2005
simons,ck,2,2018
versace,v,2,1997
williams,lv,2,2023
queen,gi,2,1997